Equipo;Competencia;Internacional;Oficial;Rival;Minuto;Fecha;Ciudad;Pais;Condición;Resultado Final;
River Plate;Gira Europea;Si;No;Napoli; ;03/01/1952;Napoles;Italia;Visitante;2-1;
River Plate;Gira Europea;Si;No;Napoli; ;03/01/1952;Napoles;Italia;Visitante;2-1;
River Plate;Gira Europea;Si;No;Torino ;44;16/01/1952;Turín;Italia;Visitante;3-3;
River Plate;Gira Europea;Si;No;Comb. Genoa-Sampdoria;;23/01/1952;Genova;Italia;Visitante;3-3;
River Plate;Gira Europea;Si;No;Arsenal Spezzia; ;26/01/1952;La Spezzia;Italia;Visitante;8-1;
River Plate;Gira Europea;Si;No;Servette;;27/01/1952;Ginebra;Suiza;Visitante;4-3;
River Plate;Gira Europea;Si;No;Servette;;27/01/1952;Ginebra;Suiza;Visitante;4-3;
River Plate;Gira Europea;Si;No;Manchester City;6;02/02/1952;Manchester;Inglaterra;Visitante;4-3;
River Plate;Gira Europea;Si;No;Manchester City;12;02/02/1952;Manchester;Inglaterra;Visitante;4-3;
River Plate;Gira Europea;Si;No;Combinado Benfica / Sporting Lisboa; ;17/02/1952;Lisboa;Portugal;Visitante;5-0;
River Plate;Gira Europea;Si;No;Combinado Benfica / Sporting Lisboa; ;17/02/1952;Lisboa;Portugal;Visitante;5-0;
River Plate;Amistoso;No;No;Quilmes (Mar del Plata);;29/03/1952;Mar del Plata;Argentina;Visitante;3-3;
River Plate;Amistoso;No;No;Quilmes (Mar del Plata);;29/03/1952;Mar del Plata;Argentina;Visitante;3-3;
River Plate;Amistoso;No;No;Combinado Mar del Plata;;30/03/1952;Mar del Plata;Argentina;Visitante;5-0;
River Plate;Primera División AFA;No;Si;Estudiantes;;13/04/1952;La Plata;Argentina;Visitante;4-2;
River Plate;Primera División AFA;No;Si;Estudiantes;;13/04/1952;La Plata;Argentina;Visitante;4-2;
River Plate;Primera División AFA;No;Si;San Lorenzo;;04/05/1952;Buenos Aires;Argentina;Visitante;1-2;
River Plate;Primera División AFA;No;Si;Chacarita;;15/06/1952;Buenos Aires;Argentina;Local;2-0;
River Plate;Amistoso;No;No;Liga de Mercedes;;26/06/1952;Mercedes;Argentina;Visitante;9-2;
River Plate;Amistoso;No;No;Liga de Mercedes;;26/06/1952;Mercedes;Argentina;Visitante;9-2;
River Plate;Primera División AFA;No;Si;Huracán;;29/06/1952;Buenos Aires;Argentina;Local;3-2;
River Plate;Primera División AFA;No;Si;Banfield;;06/07/1952;Banfield;Argentina;Visitante;1-2;
River Plate;Amistoso;No;No;Liga del Chaco;;09/07/1952;Chaco;Argentina;Visitante;7-5;
River Plate;Amistoso;No;No;Liga del Chaco;;09/07/1952;Chaco;Argentina;Visitante;7-5;
River Plate;Amistoso;No;No;Liga del Chaco;;09/07/1952;Chaco;Argentina;Visitante;7-5;
River Plate;Amistoso;No;No;Liga del Chaco;;09/07/1952;Chaco;Argentina;Visitante;7-5;
River Plate;Amistoso;No;No;Liga del Chaco;;12/07/1952;Chaco;Argentina;Visitante;5-0;
River Plate;Amistoso;No;No;Liga del Chaco;;12/07/1952;Chaco;Argentina;Visitante;5-0;
River Plate;Primera División AFA;No;Si;Lanús;;12/10/1952;Buenos Aires;Argentina;Local;2-1;
River Plate;Primera División AFA;No;Si;Rosario Central;;19/10/1952;Rosario;Argentina;Visitante;3-5;
River Plate;Primera División AFA;No;Si;Huracán;;22/11/1952;Buenos Aires;Argentina;Visitante;7-1;
Selección Argentina;Amistoso;Si;No;Portugal;;14/12/1952;Lisboa;Portugal;Visitante;3-1;
Selección Argentina;Amistoso;Si;No;Portugal;;14/12/1952;Lisboa;Portugal;Visitante;3-1;
River Plate;Amistoso;No;No;Argentino del Norte (T);;20/12/1952;Buenos Aires;Argentina;Local;2-0;
River Plate;Amistoso;Si;No;Sport Patria ;;30/12/1952;Guayaquil;Ecuador;Visitante;3-2;
River Plate;Copa República Colombia;Si;No;Millonarios;;03/01/1953;Bogotá ;Colombia;Visitante;3-1;
River Plate;Copa República Colombia;Si;No;Deportivo Cali;;16/01/1953;Bogotá ;Colombia;Neutral;4-1;
River Plate;Copa República Colombia;Si;No;Independiente Santa Fé ;;18/01/1953;Bogotá ;Colombia;Visitante;4-1;
River Plate;Copa República Colombia;Si;No;Rapid Viena;;26/01/1953;Bogotá ;Colombia;Neutral;5-1;
River Plate;Copa República Colombia;Si;No;Rapid Viena;;26/01/1953;Bogotá ;Colombia;Neutral;5-1;
River Plate;Copa República Colombia;Si;No;Independiente Santa Fé ;;01/02/1953;Bogotá ;Colombia;Visitante;3-3;
River Plate;Copa República Colombia;Si;No;Independiente Santa Fé ;;01/02/1953;Bogotá ;Colombia;Visitante;3-3;
River Plate;Pequeña Copa de Campeones del mundo;Si;No;Rapid Viena;;10/02/1953;Caracas;Venezuela;Neutral;1-3;
River Plate;Amistoso;Si;No;Rapid Viena;;14/02/1953;Caracas;Venezuela;Neutral;3-1;
River Plate;Amistoso;No;No;Ferro Carril Oeste;;22/03/1953;Buenos Aires;Argentina;Visitante;2-2;
River Plate;Amistoso;No;No;Independiente;;26/03/1953;Buenos Aires;Argentina;Local;4-0;
River Plate;Amistoso;No;No;Independiente;;26/03/1953;Buenos Aires;Argentina;Local;4-0;
River Plate;Amistoso;No;No;Selección de Zárate;;14/04/1953;Zárate;Argentina;Visitante;5-2;
River Plate;Amistoso;No;No;Selección de Zárate;;14/04/1953;Zárate;Argentina;Visitante;5-2;
River Plate;Primera División AFA;No;Si;San Lorenzo;;19/04/1953;Buenos Aires;Argentina;Local;2-1;
River Plate;Primera División AFA;No;Si;Lanús;;07/06/1953;Buenos Aires;Argentina;Local;2-1;
River Plate;Primera División AFA;No;Si;Platense;;21/06/1953;Buenos Aires;Argentina;Visitante;3-2;
